x,Hospital,Clinic,Fitness
2017-1,10.0,5.882352941176471,7.82608695652174
2017-2,6.976744186046512,0.0,3.7190082644628095
2017-3,25.96153846153846,5.054151624548737,7.353760445682451
2017-4,12.328767123287673,0.28169014084507044,9.269662921348315
2018-1,1.6129032258064515,4.166666666666666,5.7441253263707575
2018-2,10.38961038961039,8.695652173913045,8.517350157728707
2018-3,16.216216216216214,4.761904761904762,11.801242236024846
2018-4,3.773584905660378,0.0,3.7567084078711988
2019-1,5.128205128205128,2.4390243902439024,15.42056074766355
2019-2,13.636363636363635,9.09090909090909,4.444444444444445
2019-3,15.116279069767439,1.1494252873563218,7.117437722419928
2019-4,8.695652173913043,2.912621359223301,3.146067415730337
2020-1,11.39240506329114,4.166666666666666,16.600790513833992
2020-2,50.0,9.090909090909092,5.263157894736842
2020-3,13.333333333333334,10.0,8.333333333333332
2020-4,38.235294117647065,4.545454545454546,5.154639175257732
2021-1,18.30985915492958,1.1363636363636365,3.171247357293869
2021-2,1.1235955056179776,1.7964071856287425,4.8076923076923075
2021-3,6.451612903225806,0.0,6.779661016949152
