x,Hospital,Clinic,Fitness
2017-1,0.3,0.29411764705882354,0.19130434782608696
2017-2,0.11627906976744186,0.03896103896103896,0.13636363636363635
2017-3,0.47115384615384615,0.08303249097472924,0.11142061281337047
2017-4,0.1917808219178082,0.018309859154929577,0.19382022471910113
2018-1,0.22580645161290322,0.14583333333333334,0.27154046997389036
2018-2,0.33766233766233766,0.18840579710144928,0.2302839116719243
2018-3,0.5675675675675675,0.19047619047619047,0.2329192546583851
2018-4,0.10377358490566038,0.045871559633027525,0.07692307692307693
2019-1,0.3333333333333333,0.06097560975609756,0.3177570093457944
2019-2,0.3409090909090909,0.1590909090909091,0.09111111111111111
2019-3,0.26744186046511625,0.05747126436781609,0.18505338078291814
2019-4,0.2717391304347826,0.14563106796116504,0.09662921348314607
2020-1,0.43037974683544306,0.125,0.30039525691699603
2020-2,0.6666666666666666,0.18181818181818182,0.3684210526315789
2020-3,0.26666666666666666,0.13333333333333333,0.375
2020-4,0.5588235294117647,0.09090909090909091,0.18556701030927836
2021-1,0.30985915492957744,0.056818181818181816,0.1331923890063425
2021-2,0.06741573033707865,0.041916167664670656,0.21153846153846154
2021-3,0.2903225806451613,0.017857142857142856,0.2711864406779661
