x,y
2017-1,0.0
2017-2,28707742.139674548
2017-3,0.0
2017-4,14353871.069837274
2017-5,0.0
2017-6,9569247.379891517
2017-7,28707742.139674548
2018-1,28707742.139674548
2018-2,0.0
2018-3,14353871.069837274
2018-4,0.0
2018-5,4784623.689945758
2018-6,14353871.069837274
2018-7,9569247.379891517
2019-1,0.0
2019-2,2208287.8568980424
2019-3,9569247.379891517
2019-4,7176935.534918637
2019-5,14353871.069837274
2019-6,3189749.1266305055
2019-7,14353871.069837274
2020-1,9569247.379891517
2020-2,4101106.019953507
2020-3,9569247.379891517
2020-4,0.0
2020-5,0.0
2020-6,4784623.689945758
2020-7,0.0
2021-1,14353871.069837274
2021-2,2392311.844972879
2021-3,9569247.379891517
2021-4,3588467.7674593185
2021-5,0.0
2021-6,0.0
2021-7,7176935.534918637
